reason_for_recall,classification
The product was found to contain undeclared sulfites (1329.2 ppm) based on sampling and analysis by New York State Department of Agriculture & Markets.,moderate
Undeclared Soy Lecithin.  Firm used Canola Oil spray as a releasing agent but finished products labels do not declare Soy Lecithin.,moderate
Recall initiated as a precautionary measure due to potential risk of product contamination with Burkholderia cepacia.,major
Good Source Solutions is recalling Vegetarian Burger Mix because it may be contaminated with Salmonella.  The recalled product contains Soy Protein Isolate that is on recall by CHS Inc. for Salmonella.,major
undeclared soy lecithin.,moderate
Potential Listeria monocytogenes contamination.,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
"Lansal, Inc. (d.b.a. Hot Mama's Foods) is recalling approximately 14,860 pounds of hummus and dip products due to concerns about possible Listeria monocytogenes.",major
The recalling firm learned from their supplier that an ingredient distributed to them tested positive for Cyclospora.,major
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
"Products contain ""Aegeline"" an unapproved New Dietary Ingredient.",major
Products are potentially contaminated with Salmonella.,major
Allergen statement not printed on label of roasted and salted Edamame,moderate
Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,severe
Potential contamination of product with E. coli O157.,major
Potential Listeria monocytogenes contamination.,severe
Supreme Healthy Garden Blend is recalled because it has the potential to be contaminated with Listeria monocytogenes.,severe
Possible Salmonella contamination in roasted peanut splits,major
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
Presence of undeclared soy allergen,moderate
Results from the company lab samples revealed that some of the samples contained Listeria monocytogenes.,severe
Products may be contaminated with  Listeria monocytogenes.,severe
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
"Turkey Hill Dairy is initiating a voluntary recall on Turkey Hill Stuff'd  Moose Tracks Frozen Dairy Dessert, Sell By Date:  9/27/2014, because the product may be potentially contaminated with metal debris.",moderate
Product tested and found to be positive for Salmonella,moderate
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
Product may be contaminated with Listeria monocytogenes.,severe
"The Vitamin B17 containing product is considered to be a prescription drug, new drug, and unapproved new drug.",moderate
Product may contain Metronidazole,moderate
Ground ginger does not properly identify addition of sulfites on the package label.,severe
The firm announced a voluntary recall of various dietary supplement products due to misbranding and some products may contain undeclared HCG.,major
Product potentially contaminated with Salmonella.,severe
"Garden-Fresh Foods is recalling various ready-to-eat salads, slaw, and dip products sold under various brands and codes because they may be contaminated with Listeria monocytogenes.",severe
Products have the potential to be contaminated with Salmonella.,major
Products not manufactured under GMP's,major
Dairy Farmers of America Inc. is recalling a number of cheese products due  that a piece of plastic  film strip might remain attached to the cheese slice upon peeling the film from the product.,major
The Commonwealth of Virginia sampled the product and revealed the presence of undeclared sulfites at 57 ppm and 10 ppm,moderate
Harvest equipment used in harvesting raw iceberg lettuce was tested by  Dole and found to contain Listeria monocytogenes.,severe
Fish Cake items contain possible contaminating undeclared milk and shellfish.,moderate
Liquid Oil products were reported to contain a high density polyethylene resin trim ring in the 35 lb bottles.,major
During a South Carolina State Department inspection the firm was notified that the label did not list wheat as an ingredient.,major
"The firm used pan release spray, which contains soy lecithin, on equipment and finished products labels do not declare soy lecithin.",major
Product has the potential to be contaminated with Salmonella.,severe
"Salmonella Newport. Product contains onion supplied from Thomson International, Inc.",moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
"Tortillas Mexico is recalling all tortillas with the Expiration Dates from December 20 to February 27, 2014 because a meatal staple was found by a consumer in a baked tortilla.  Investigation by the Colorado Health Department found the firm's metal detector was not functioning.",major
Product may contain undeclared milk.,moderate
Potential contamination with Listeria monocytogenes.,severe
Maplehurst Deli-Bake South Inc. the cake supplier notified Publix Super market of a contamination with Listeria Monocytogenes on 11/15/2012.,severe
Listeria contamination due to various GMP violations. possible.,major
Product may contain undeclared milk.,moderate
"The dietary supplements have the potential to be contaminated with undeclared steroids, pharmaceutical ingredients and/or chemical additives due to lack of GMPs.",major
The imported product was found to contain undeclared sulfites,moderate
"Garden-Fresh Foods is recalling various cut vegetables,  ready-to-eat salads, slaw, spread and dip products sold under various brands and code dates manufactured prior to November 06, 2013  because they may be contaminated with Listeria monocytogenes.",severe
"Semolina pasta fails to declare the allergen""wheat""",severe
The firm voluntarily recalled a total of 11 products: this product was recalled due to undeclared FD&C yellow #5.,major
"The firm discovered that some of their products showed higher than acceptable levels of gluten. They placed the product on hold for destruction however, one shipper sent products into commerce for distribution.",major
Trail Mixes may contain stringy pieces of flexible plastic,moderate
"The firm discovered that one of their coolers malfunctioned and the food was not held at an appropriate temperature.  Because the holding temperature could affect food safety, this food could be unsafe for consumption.",major
Downstream recall from supplier.  Possible metal shavings in ingredient.,major
Product contains undeclared milk.,moderate
"The required pre-market notifications for these new  infant formulas have not been submitted to the FDA. Some products contain less than 1 milligram of iron per 100 Calories and may not provide adequate iron for some infants, particularly infants born prematurely or with a low birth weight, had low iron levels at birth, or are at risk for becoming iron deficient due to illness. All products are not labeled as required by 21 CFR 107 .10 and 107.20 and do not bear mandatory labeling statements in English.",major
The recalling firm was notified by their supplier that ingredients used by the recalling firm contained undeclared peanuts.,major
Product labeled to contain iodized salt actually contain salt not fortified with iodine.,moderate
Products may be contaminated with Listeria monocytogenes.,severe
Firm is recalling dietary supplements containing a raw material which may contain >0.3 ppb chloramphenicol,moderate
Undeclared allergen; Peanut Protein,moderate
Firm was notified by supplier that Organic Ground Flaxseed powder was under recall by manufacturer due to unapproved herbicide - Haloxyfop,major
Firm used Flour from General Mills that has been contaminated with E. Coli O121.,severe
Product has potential to be contaminated with Listeria monocytogenes,severe
Products recalled due to potential contamination with Listeria monocytogenes,major
Potential Listeria monocytogenes contamination.,severe
The product has the potential to be contaminated with Listeria monocytogenes.,severe
Product is being recalled because it was manufactured using peanut products recalled by Peanut Corporation of America.  The peanut products has the potential to be contaminated with Salmonella,major
Dietary supplements contain low levels of undeclared boron,moderate
Wrong Label applied to Product.,moderate
"Foreign material - plastic, risk of choking hazard",severe
The canned Albacore tuna no salt product is recalled because it has the potential to be contaminated with Clostridium botulinum.,severe
Five patients who were treated in a single hospital in Kansas were infected with one of four rare strains of Listeria monocytogenes.,severe
"Presence of undeclared allergens soy, and milk",moderate
Customer reported high levels of hydrogen cyanide in Raw Organic almonds after testing due to a consumer complaint.,major
Sweet P's Bake Shop branded Caramel Apple Danish Coffee Cake contains undeclared walnuts.,moderate
Jams and Jellies are made with butter which is not declared on the label.,severe
Gluten free labeled cookie dough contains gluten,moderate
Products recalled due to undeclared allergen -milk,major
During an FDA investigation the firm was notified that the product contains undeclared milk.,moderate
Shipping container from CA to HI was not held at proper temperature which could cause food items to be contaminated with spoilage organisms or pathogens,severe
Undeclared Soy,moderate
"FDA environmental sampling found 21 of 50 positive for Listeria monocytogenes, 11 of these on food contact surfaces.",severe
"Borden GOOD2GETHER Snack Trays with Sell By dates of 9/16/2015, 9/17/2015, and 9/18/2015 are being recalled by Dairy Farmers of America. The manufacturer of the product trays recently experienced a temporary issue with their equipment, which may have resulted in a hard plastic punch hole knockout measuring 7.91mm being retained in some of the product trays. This has the potential to cause a chokin",moderate
The product tested positive for Salmonella.,moderate
Product may be contaminated with Salmonella.,moderate
Possible Listeria monocytogenes contamination.,severe
Products were made with Jiff Peanut Butter and have the potential for Salmonella Contamination.,major
Liquid Oil products were reported to contain a high density polyethylene resin trim ring in the 35 lb bottles.,major
Undeclared allergen; Peanut protein.,moderate
"Undeclared allergens: eggs, wheat and soy",moderate
"During a FDA foreign inspection, it was found that four products did not declare allergens.",major
Potential Listeria monocytogenes contamination.,severe
Baked bread products may contain foreign material-plastic pieces,moderate
"Ready to Eat salad products containing iceberg lettuce, red cabbage and/or carrot ingredients are recalled due to a possible health risk from Cyclospora.",major
Products not manufactured under GMP's,major
Products may be contaminated with  Listeria monocytogenes.,severe
Undeclared allergens: milk (Whey),moderate
Andrew and Williamson Fresh Produce (A&W) is recalling all cucumbers sold under the Limited Edition label because it may be contaminated with Salmonella.,severe
Metal fragment.  A piece of metal about 3/4 inch was found in retail package.,moderate
"Pursuant to a consent decree that prohibits the company and its owners for marketing dietary supplements until they, among other things, recall and destroy the dietary supplements that have been manufactured or distributed since April 2, 2014, hire a cGMP expert and receive written permission from FDA to resume operations.",major
"A natural flavoring containing a milk ingredient was inadvertently used to manufacture the Duncan Hines Signature Swiss Chocolate Cake Mix, 16.5 oz. cartons and the Duncan Hines Swiss Moist Deluxe Swiss Chocolate (Chocolate Suizo) 16.5 oz. cartons. The incorrect labeling was used on this product declaring that these products were a NON-milk containing product.",moderate
Potential Salmonella contamination.,major
Gourmet International Inc. is initiating a voluntary recall of cookie products due to undeclared colors.,major
Firm was notified by direct customer of a confirmed positive result for Salmonella ssp. after routine testing of the diced onion product.,moderate
"Full Tilt Brand ice cream is being recalled due to the potential to be contaminated with Listeria monocytogenes. These products contain ice cream mix, an ingredient manufactured and recalled by Snoqualmie Gourmet Ice Cream, Inc.",major
Hollandaise Sauce was recalled due to presence of mold.,major
The recall was initiated because Rita's Fine Food sandwiches have undeclared milk as a sub-ingredient in cheese.,moderate
Two Chefs on a Roll is recalling humus products because they may contain small pieces of material from food grade equipment.,moderate
"21st Century HealthCare, Inc. is recalling Good Neighbor Pharmacy brand Co Q10 200mg 30ct capsules due the product being mislabeled and potentially containing Vit D 2000 IU.",major
Dietary supplements contain low levels of undeclared boron,moderate
Products were not held at an appropriate temperature due to a mechanical malfunction during transportation.,major
Whole wheat not declared on label.,moderate
"There is a possibility that a part of the nozzle cap of the bottle can become dislodged through abuse (i.e. excessive chewing) then possibly ingested, and posing a potential health/safety hazard.  The cap in question is no longer used by ABC and was last produced in September of 2011.  Firm does not anticipate finding any impacted product in the market.",moderate
undeclared soy lecithin and milk (cream was declared),moderate
Reports of mild flushing reaction after consumption of product led to concern of possible production issue.  Flushing condition resolved itself within two hours.,moderate
According to the firm a process deviation and proper temperatures were not reached during ice cream production and mix storage.,major
"Mount Franklin Foods, LLC. is voluntarily recalling Safeway Autumn Mix, Sunrise Autumn Mix, and Sunrise Indian Corn because the candy contains undeclared milk and sulfites. People with an allergy or severe sensitivity to milk can run the risk of serious or life-threatening allergic reactions if they consume this product.",moderate
Undeclared peanut protein in products containing cumin,major
The Better Valu Fruit Whirls contain undeclared almond butter.,moderate
